alleg[V][Trns][Intrg][2Sg][1Du]	allegsikung
alleg[V][Trns][Intrg][2Sg][1Pl]	allegsikut
alleg[V][Trns][Intrg][2Sg][1Sg]	allegsinga
alleg[V][Trns][Intrg][2Sg][3Du]	allegsikek
alleg[V][Trns][Intrg][2Sg][3Pl]	allegsiki
alleg[V][Trns][Intrg][2Sg][3Sg]	allegsigu
kayusigh[V][Trns][Intrg][2Sg][1Du]	kayusighsikung
kayusigh[V][Trns][Intrg][2Sg][1Pl]	kayusighsikut
kayusigh[V][Trns][Intrg][2Sg][1Sg]	kayusighsinga
kayusigh[V][Trns][Intrg][2Sg][3Du]	kayusighsikek
kayusigh[V][Trns][Intrg][2Sg][3Pl]	kayusighsiki
kayusigh[V][Trns][Intrg][2Sg][3Sg]	kayusighsigu
kayusiite[V][Trns][Intrg][2Sg][1Du]	kayusiisikung
kayusiite[V][Trns][Intrg][2Sg][1Pl]	kayusiisikut
kayusiite[V][Trns][Intrg][2Sg][1Sg]	kayusiisinga
kayusiite[V][Trns][Intrg][2Sg][3Du]	kayusiisikek
kayusiite[V][Trns][Intrg][2Sg][3Pl]	kayusiisiki
kayusiite[V][Trns][Intrg][2Sg][3Sg]	kayusiisigu
liisimake[V][Trns][Intrg][2Sg][1Du]	liisimaksikung
liisimake[V][Trns][Intrg][2Sg][1Pl]	liisimaksikut
liisimake[V][Trns][Intrg][2Sg][1Sg]	liisimaksinga
liisimake[V][Trns][Intrg][2Sg][3Du]	liisimaksikek
liisimake[V][Trns][Intrg][2Sg][3Pl]	liisimaksiki
liisimake[V][Trns][Intrg][2Sg][3Sg]	liisimaksigu
pi[V][Trns][Intrg][2Sg][1Du]	pizikung
pi[V][Trns][Intrg][2Sg][1Pl]	pizikut
pi[V][Trns][Intrg][2Sg][1Sg]	pizinga
pi[V][Trns][Intrg][2Sg][3Du]	pizikek
pi[V][Trns][Intrg][2Sg][3Pl]	piziki
pi[V][Trns][Intrg][2Sg][3Sg]	pizigu
sa[V][Trns][Intrg][2Sg][1Du]	sazikung
sa[V][Trns][Intrg][2Sg][1Pl]	sazikut
sa[V][Trns][Intrg][2Sg][1Sg]	sazinga
sa[V][Trns][Intrg][2Sg][3Du]	sazikek
sa[V][Trns][Intrg][2Sg][3Pl]	saziki
sa[V][Trns][Intrg][2Sg][3Sg]	sazigu
tukfigh[V][Trns][Intrg][2Sg][1Du]	tukfighsikung
tukfigh[V][Trns][Intrg][2Sg][1Pl]	tukfighsikut
tukfigh[V][Trns][Intrg][2Sg][1Sg]	tukfighsinga
tukfigh[V][Trns][Intrg][2Sg][3Du]	tukfighsikek
tukfigh[V][Trns][Intrg][2Sg][3Pl]	tukfighsiki
tukfigh[V][Trns][Intrg][2Sg][3Sg]	tukfighsigu
