alleg[V][Intrg][2Sg][1Pl]	allegsikut
alleg[V][Intrg][2Sg][1Sg]	allegsinga
alleg[V][Intrg][2Sg][3Du]	allegsikek
alleg[V][Intrg][2Sg][3Pl]	allegsiki
alleg[V][Intrg][2Sg][3Sg]	allegsigu
kayusigh[V][Intrg][2Sg][1Pl]	kayusighsikut
kayusigh[V][Intrg][2Sg][1Sg]	kayusighsinga
kayusigh[V][Intrg][2Sg][3Du]	kayusighsikek
kayusigh[V][Intrg][2Sg][3Pl]	kayusighsiki
kayusigh[V][Intrg][2Sg][3Sg]	kayusighsigu
kayusiite[V][Intrg][2Sg][1Pl]	kayusiisikut
kayusiite[V][Intrg][2Sg][1Sg]	kayusiisinga
kayusiite[V][Intrg][2Sg][3Du]	kayusiisikek
kayusiite[V][Intrg][2Sg][3Pl]	kayusiisiki
kayusiite[V][Intrg][2Sg][3Sg]	kayusiisigu
liisimake[V][Intrg][2Sg][1Pl]	liisimakzikut
liisimake[V][Intrg][2Sg][1Sg]	liisimakzinga
liisimake[V][Intrg][2Sg][3Du]	liisimakzikek
liisimake[V][Intrg][2Sg][3Pl]	liisimakziki
liisimake[V][Intrg][2Sg][3Sg]	liisimakzigu
pi[V][Intrg][2Sg][1Pl]	pizikut
pi[V][Intrg][2Sg][1Sg]	pizinga
pi[V][Intrg][2Sg][3Du]	pizikek
pi[V][Intrg][2Sg][3Pl]	piziki
pi[V][Intrg][2Sg][3Sg]	pizigu
sa[V][Intrg][2Sg][1Pl]	sazikut
sa[V][Intrg][2Sg][1Sg]	sazinga
sa[V][Intrg][2Sg][3Du]	sazikek
sa[V][Intrg][2Sg][3Pl]	saziki
sa[V][Intrg][2Sg][3Sg]	sazigu
tukfigh[V][Intrg][2Sg][1Pl]	tukfighsikut
tukfigh[V][Intrg][2Sg][1Sg]	tukfighsinga
tukfigh[V][Intrg][2Sg][3Du]	tukfighsikek
tukfigh[V][Intrg][2Sg][3Pl]	tukfighsiki
tukfigh[V][Intrg][2Sg][3Sg]	tukfighsigu
