aghnagh[N][Abs][Unpd][Sg]-llu[Encl]	aghnaqlu
anipa-–ghllag[N→N][N][Abs][Unpd][Sg]-nguq[Encl]	anipaghllagnguq
aqlaghate*[V][Intr][Cond][3Sg]	aqlaghalkan
aqlaghate*[V][Intr][Cond][3Sg]	aqlaghaskan
aqlaghate*[V][Intr][Cond][3Sg]	aqlaghatkan
elngaatall-nguq[Encl]	elngaatalnguq
esghagh[V][Trns][Cond][4Pl][3Sg]	esghaqumegteggu
esghagh[V][Trns][Cond][4Pl][3Sg]	esghaquyigteggu
esghagh[V][Trns][Cond][4Sg][3Sg]	esghaqumigu
esghagh[V][Trns][Cond][4Sg][3Sg]	esghaqunigu
gaagh-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]	gaaghigatuq
itegh-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]	iitghigatuq
itegh[V][Intr][CnsqI][3Sg]	iteghyan
itegh[V][Intr][Cond][3Sg]	iitqan
itegh[V][Intr][Cond][4Pl]	iitqumeng
itegh[V][Intr][Cond][4Pl]	iitquyeng
itegh[V][Intr][Cond][4Sg]	iitqumi
itegh[V][Intr][Cond][4Sg]	iitquni
kaate-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	kaarragkiightuq
kaate[V][Intr][CnsqI][3Sg]	kaasan
kaate[V][Intr][CnsqI][3Sg]	kaatngan
kaate[V][Intr][Cond][3Sg]	kaaskan
kaate[V][Intr][Cond][3Sg]	kaatkan
kuuve[V][Intr][CnsqI][3Sg]	kuuvngan
kuuve[V][Intr][CnsqI][3Sg]	kuuvyan
kuuve[V][Intr][Cond][3Sg]	kuuvegkan
laalighte-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]	laalighsigatuq
laalighte[V][Intr][Ctmp][1Sg]	laalighhneghma
laalighte[V][Intr][Ctmp][3Sg]	laalighhneghan
laalighte[V][Intr][Ctmp][4Sg]	laalighhneghmini
laalighte[V][Trns][Ctmp][3Sg][3Sg]	laalighhneghagu
laalighte[V][Trns][Ctmp][4Sg][3Sg]	laalighhneghminigu
mayugh[V][Intr][CnsqI][3Sg]	mayughyan
mayugh[V][Intr][Cond][3Sg]	mayuqan
neghenghite*[V][Intr][CnsqI][3Sg]	neghenghisan
neghenghite*[V][Intr][CnsqI][3Sg]	neghenghitngan
neghenghite*[V][Intr][Cond][3Sg]	neghenghilkan
neghenghite*[V][Intr][Cond][3Sg]	neghenghiskan
neghenghite*[V][Intr][Cond][3Sg]	neghenghitkan
neghe-@₁~:(ng₂)igate[V→V][V][Trns][Ind][3Pl][3Pl]	neghigatiit
negh-@₁~f–ragkiigh[V→V][V][Trns][Ind][3Sg][3Sg]	neragkiighaa
qavagh-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]	qaviigatuq
qavagh[V][Intr][CnsqII][2Sg]	qavaghaqngavek
qiya-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]	qiyangigatuq
qiya[V][Intr][CnsqI][3Sg]	qiyangan
qiya[V][Intr][CnsqI][3Sg]	qiyayan
qiya[V][Intr][Cond][3Sg]	qiyakan
Quyilleg[N][Abs][Unpd][Pl]-nguq[Encl]	quyillgennguq
taaqe-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	taaqragkiightuq
taaqe-@₁~:(ng₂)igate[V→V][V][Intr][Ind][3Sg]	taaqigatuq
taaqe[V][Intr][CnsqI][3Sg]	taaqngan
taaqe[V][Intr][CnsqI][3Sg]	taaqsan
taaqe[V][Intr][Cond][3Sg]	taaqegkan
tagi-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	tagiragkiightuq
ukig[V][Intr][CnsqI][3Sg]	ukigyan
ukig[V][Intr][Cond][3Sg]	ukikan
ungipaghagh[N][Abs][4SgPoss][SgPosd]-nguq[Encl]	ungipaghaninguq
yug[N][Abs][Sg]-llu[Encl]	yuuklu
